DEBUG 2022-03-02 16:35:19.257 UTC: 	 CRAB Client version: v3.220210
DEBUG 2022-03-02 16:35:19.258 UTC: 	 Running on: Linux lxplus737.cern.ch 3.10.0-1160.53.1.el7.x86_64 #1 SMP Fri Jan 14 13:59:45 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux - CentOS Linux 7 (Core)
DEBUG 2022-03-02 16:35:19.258 UTC: 	 Executing command: 'submit'
DEBUG 2022-03-02 16:35:19.259 UTC: 	 Found CRAB cache file /afs/cern.ch/user/b/bdanzi/.crab3
DEBUG 2022-03-02 16:35:19.262 UTC: 	 Will use CRAB Analysis plugin (i.e. will run an analysis job type).
DEBUG 2022-03-02 16:35:19.304 UTC: 	 CRAB Client version: v3.220210
DEBUG 2022-03-02 16:35:19.305 UTC: 	 Running on: Linux lxplus737.cern.ch 3.10.0-1160.53.1.el7.x86_64 #1 SMP Fri Jan 14 13:59:45 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux - CentOS Linux 7 (Core)
DEBUG 2022-03-02 16:35:19.305 UTC: 	 Executing command: 'submit'
DEBUG 2022-03-02 16:35:19.305 UTC: 	 Found CRAB cache file /afs/cern.ch/user/b/bdanzi/.crab3
DEBUG 2022-03-02 16:35:19.306 UTC: 	 Will use CRAB Analysis plugin (i.e. will run an analysis job type).
DEBUG 2022-03-02 16:35:19.341 UTC: 	 CRAB Client version: v3.220210
DEBUG 2022-03-02 16:35:19.342 UTC: 	 Running on: Linux lxplus737.cern.ch 3.10.0-1160.53.1.el7.x86_64 #1 SMP Fri Jan 14 13:59:45 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux - CentOS Linux 7 (Core)
DEBUG 2022-03-02 16:35:19.342 UTC: 	 Executing command: 'submit'
DEBUG 2022-03-02 16:35:19.342 UTC: 	 Found CRAB cache file /afs/cern.ch/user/b/bdanzi/.crab3
DEBUG 2022-03-02 16:35:19.343 UTC: 	 Will use CRAB Analysis plugin (i.e. will run an analysis job type).
DEBUG 2022-03-02 16:35:19.386 UTC: 	 CRAB Client version: v3.220210
DEBUG 2022-03-02 16:35:19.387 UTC: 	 Running on: Linux lxplus737.cern.ch 3.10.0-1160.53.1.el7.x86_64 #1 SMP Fri Jan 14 13:59:45 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux - CentOS Linux 7 (Core)
DEBUG 2022-03-02 16:35:19.387 UTC: 	 Executing command: 'submit'
